condition,step,phase,train_loss,timestamp
mixed,1,mixed,5.946644306182861,2026-06-25T21:29:10+00:00
mixed,10,mixed,6.031769275665283,2026-06-25T21:29:13+00:00
mixed,20,mixed,5.620606422424316,2026-06-25T21:29:14+00:00
mixed,30,mixed,5.385304927825928,2026-06-25T21:29:14+00:00
mixed,40,mixed,5.300562381744385,2026-06-25T21:29:14+00:00
mixed,50,mixed,5.284116268157959,2026-06-25T21:29:14+00:00
mixed,60,mixed,5.9849629402160645,2026-06-25T21:29:15+00:00
mixed,70,mixed,5.643967151641846,2026-06-25T21:29:15+00:00
mixed,80,mixed,5.128423690795898,2026-06-25T21:29:15+00:00
mixed,90,mixed,5.5540242195129395,2026-06-25T21:29:15+00:00
mixed,100,mixed,5.976471900939941,2026-06-25T21:29:16+00:00
mixed,110,mixed,5.3070149421691895,2026-06-25T21:29:19+00:00
mixed,120,mixed,5.3214592933654785,2026-06-25T21:29:19+00:00
mixed,130,mixed,5.593666076660156,2026-06-25T21:29:20+00:00
mixed,140,mixed,4.806807041168213,2026-06-25T21:29:20+00:00
mixed,150,mixed,5.215296745300293,2026-06-25T21:29:20+00:00
mixed,160,mixed,5.29444694519043,2026-06-25T21:29:20+00:00
mixed,170,mixed,5.047472953796387,2026-06-25T21:29:21+00:00
mixed,180,mixed,5.134619235992432,2026-06-25T21:29:21+00:00
mixed,190,mixed,5.182967662811279,2026-06-25T21:29:21+00:00
mixed,200,mixed,5.269811630249023,2026-06-25T21:29:21+00:00
mixed,210,mixed,4.474983215332031,2026-06-25T21:29:24+00:00
mixed,220,mixed,4.795413017272949,2026-06-25T21:29:25+00:00
mixed,230,mixed,5.091126918792725,2026-06-25T21:29:25+00:00
mixed,240,mixed,5.04130744934082,2026-06-25T21:29:25+00:00
mixed,250,mixed,4.597349643707275,2026-06-25T21:29:25+00:00
mixed,260,mixed,4.614251136779785,2026-06-25T21:29:26+00:00
mixed,270,mixed,4.805550575256348,2026-06-25T21:29:26+00:00
mixed,280,mixed,4.506809711456299,2026-06-25T21:29:26+00:00
mixed,290,mixed,4.799129962921143,2026-06-25T21:29:26+00:00
mixed,300,mixed,5.278176307678223,2026-06-25T21:29:26+00:00
mixed,310,mixed,4.66782808303833,2026-06-25T21:29:30+00:00
mixed,320,mixed,4.683724403381348,2026-06-25T21:29:31+00:00
mixed,330,mixed,4.996342182159424,2026-06-25T21:29:31+00:00
mixed,340,mixed,4.453983783721924,2026-06-25T21:29:31+00:00
mixed,350,mixed,4.5739922523498535,2026-06-25T21:29:31+00:00
mixed,360,mixed,4.9951491355896,2026-06-25T21:29:31+00:00
mixed,370,mixed,5.308581352233887,2026-06-25T21:29:32+00:00
mixed,380,mixed,4.641330718994141,2026-06-25T21:29:32+00:00
mixed,390,mixed,4.955431938171387,2026-06-25T21:29:32+00:00
mixed,400,mixed,4.73391056060791,2026-06-25T21:29:32+00:00
mixed,410,mixed,4.990164279937744,2026-06-25T21:29:35+00:00
mixed,420,mixed,4.994611740112305,2026-06-25T21:29:36+00:00
mixed,430,mixed,5.047965049743652,2026-06-25T21:29:36+00:00
mixed,440,mixed,4.685978412628174,2026-06-25T21:29:36+00:00
mixed,450,mixed,4.981579780578613,2026-06-25T21:29:36+00:00
mixed,460,mixed,4.85922384262085,2026-06-25T21:29:36+00:00
mixed,470,mixed,4.697420120239258,2026-06-25T21:29:37+00:00
mixed,480,mixed,4.624824047088623,2026-06-25T21:29:37+00:00
mixed,490,mixed,4.962181091308594,2026-06-25T21:29:37+00:00
mixed,500,mixed,4.6098103523254395,2026-06-25T21:29:37+00:00
mixed,510,mixed,4.692845821380615,2026-06-25T21:29:41+00:00
mixed,520,mixed,4.936196327209473,2026-06-25T21:29:41+00:00
mixed,530,mixed,4.690454483032227,2026-06-25T21:29:41+00:00
mixed,540,mixed,4.77984619140625,2026-06-25T21:29:42+00:00
mixed,550,mixed,4.649022579193115,2026-06-25T21:29:42+00:00
mixed,560,mixed,4.880606651306152,2026-06-25T21:29:42+00:00
mixed,570,mixed,4.71524715423584,2026-06-25T21:29:42+00:00
mixed,580,mixed,5.134559631347656,2026-06-25T21:29:43+00:00
mixed,590,mixed,4.7939453125,2026-06-25T21:29:43+00:00
mixed,600,mixed,5.181689262390137,2026-06-25T21:29:43+00:00
mixed,610,mixed,4.639569282531738,2026-06-25T21:29:46+00:00
mixed,620,mixed,4.406069278717041,2026-06-25T21:29:46+00:00
mixed,630,mixed,4.429895877838135,2026-06-25T21:29:46+00:00
mixed,640,mixed,3.8548977375030518,2026-06-25T21:29:47+00:00
mixed,650,mixed,4.061469554901123,2026-06-25T21:29:47+00:00
mixed,660,mixed,4.551690578460693,2026-06-25T21:29:47+00:00
mixed,670,mixed,4.5656232833862305,2026-06-25T21:29:47+00:00
mixed,680,mixed,4.29876184463501,2026-06-25T21:29:48+00:00
mixed,690,mixed,4.535211563110352,2026-06-25T21:29:48+00:00
mixed,700,mixed,4.34653377532959,2026-06-25T21:29:48+00:00
mixed,710,mixed,4.69827127456665,2026-06-25T21:29:51+00:00
mixed,720,mixed,4.547679424285889,2026-06-25T21:29:51+00:00
mixed,730,mixed,4.166868209838867,2026-06-25T21:29:51+00:00
mixed,740,mixed,3.840921401977539,2026-06-25T21:29:52+00:00
mixed,750,mixed,4.323833465576172,2026-06-25T21:29:52+00:00
mixed,760,mixed,4.456894874572754,2026-06-25T21:29:52+00:00
mixed,770,mixed,5.038679122924805,2026-06-25T21:29:53+00:00
mixed,780,mixed,3.9316294193267822,2026-06-25T21:29:53+00:00
mixed,790,mixed,4.429145336151123,2026-06-25T21:29:53+00:00
mixed,800,mixed,3.9895880222320557,2026-06-25T21:29:54+00:00
mixed,810,mixed,3.9865872859954834,2026-06-25T21:29:57+00:00
mixed,820,mixed,4.452599048614502,2026-06-25T21:29:57+00:00
mixed,830,mixed,4.6371941566467285,2026-06-25T21:29:57+00:00
mixed,840,mixed,4.0458502769470215,2026-06-25T21:29:57+00:00
mixed,850,mixed,4.208869934082031,2026-06-25T21:29:58+00:00
mixed,860,mixed,4.658205509185791,2026-06-25T21:29:58+00:00
mixed,870,mixed,3.937272071838379,2026-06-25T21:29:58+00:00
mixed,880,mixed,3.9166009426116943,2026-06-25T21:29:58+00:00
mixed,890,mixed,4.509953498840332,2026-06-25T21:29:59+00:00
mixed,900,mixed,4.1092023849487305,2026-06-25T21:29:59+00:00
curriculum,1,easy,6.393101692199707,2026-06-25T21:30:02+00:00
curriculum,10,easy,5.848939895629883,2026-06-25T21:30:06+00:00
curriculum,20,easy,5.2903242111206055,2026-06-25T21:30:06+00:00
curriculum,30,easy,5.190183162689209,2026-06-25T21:30:07+00:00
curriculum,40,easy,5.638858795166016,2026-06-25T21:30:07+00:00
curriculum,50,easy,5.038795471191406,2026-06-25T21:30:07+00:00
curriculum,60,easy,5.403420448303223,2026-06-25T21:30:07+00:00
curriculum,70,easy,5.097470760345459,2026-06-25T21:30:08+00:00
curriculum,80,easy,5.403729438781738,2026-06-25T21:30:08+00:00
curriculum,90,easy,5.268869876861572,2026-06-25T21:30:08+00:00
curriculum,100,easy,5.037594318389893,2026-06-25T21:30:08+00:00
curriculum,110,easy,4.908052921295166,2026-06-25T21:30:11+00:00
curriculum,120,easy,5.304521560668945,2026-06-25T21:30:11+00:00
curriculum,130,easy,5.610372543334961,2026-06-25T21:30:12+00:00
curriculum,140,easy,5.125227451324463,2026-06-25T21:30:12+00:00
curriculum,150,easy,5.07699728012085,2026-06-25T21:30:12+00:00
curriculum,160,easy,5.186977863311768,2026-06-25T21:30:12+00:00
curriculum,170,easy,5.354800224304199,2026-06-25T21:30:12+00:00
curriculum,180,easy,4.434378147125244,2026-06-25T21:30:13+00:00
curriculum,190,easy,5.242883205413818,2026-06-25T21:30:13+00:00
curriculum,200,easy,4.4616241455078125,2026-06-25T21:30:13+00:00
curriculum,210,easy,4.352896690368652,2026-06-25T21:30:16+00:00
curriculum,220,easy,4.211681842803955,2026-06-25T21:30:16+00:00
curriculum,230,easy,4.746524810791016,2026-06-25T21:30:17+00:00
curriculum,240,easy,4.827436923980713,2026-06-25T21:30:17+00:00
curriculum,250,easy,4.153427600860596,2026-06-25T21:30:17+00:00
curriculum,260,easy,4.421156883239746,2026-06-25T21:30:18+00:00
curriculum,270,easy,4.846623420715332,2026-06-25T21:30:18+00:00
curriculum,280,easy,4.407003879547119,2026-06-25T21:30:18+00:00
curriculum,290,easy,4.103776931762695,2026-06-25T21:30:19+00:00
curriculum,300,easy,4.2964019775390625,2026-06-25T21:30:19+00:00
curriculum,310,medium,4.98027229309082,2026-06-25T21:30:22+00:00
curriculum,320,medium,5.031326770782471,2026-06-25T21:30:22+00:00
curriculum,330,medium,4.946379661560059,2026-06-25T21:30:22+00:00
curriculum,340,medium,5.423745155334473,2026-06-25T21:30:23+00:00
curriculum,350,medium,5.079885005950928,2026-06-25T21:30:23+00:00
curriculum,360,medium,4.3500285148620605,2026-06-25T21:30:23+00:00
curriculum,370,medium,4.574134826660156,2026-06-25T21:30:23+00:00
curriculum,380,medium,4.770566940307617,2026-06-25T21:30:23+00:00
curriculum,390,medium,4.896521091461182,2026-06-25T21:30:24+00:00
curriculum,400,medium,4.775512218475342,2026-06-25T21:30:24+00:00
curriculum,410,medium,4.702116966247559,2026-06-25T21:30:27+00:00
curriculum,420,medium,5.103648662567139,2026-06-25T21:30:27+00:00
curriculum,430,medium,5.08982515335083,2026-06-25T21:30:27+00:00
curriculum,440,medium,5.339064121246338,2026-06-25T21:30:27+00:00
curriculum,450,medium,4.993040084838867,2026-06-25T21:30:28+00:00
curriculum,460,medium,4.066460132598877,2026-06-25T21:30:28+00:00
curriculum,470,medium,4.552183628082275,2026-06-25T21:30:28+00:00
curriculum,480,medium,4.721305847167969,2026-06-25T21:30:28+00:00
curriculum,490,medium,5.237659931182861,2026-06-25T21:30:29+00:00
curriculum,500,medium,5.220526695251465,2026-06-25T21:30:29+00:00
curriculum,510,medium,5.416358470916748,2026-06-25T21:30:33+00:00
curriculum,520,medium,4.689638137817383,2026-06-25T21:30:33+00:00
curriculum,530,medium,4.827202796936035,2026-06-25T21:30:33+00:00
curriculum,540,medium,4.8069844245910645,2026-06-25T21:30:33+00:00
curriculum,550,medium,5.256345272064209,2026-06-25T21:30:33+00:00
curriculum,560,medium,4.848488807678223,2026-06-25T21:30:34+00:00
curriculum,570,medium,4.898717880249023,2026-06-25T21:30:34+00:00
curriculum,580,medium,4.477949619293213,2026-06-25T21:30:34+00:00
curriculum,590,medium,5.547799587249756,2026-06-25T21:30:34+00:00
curriculum,600,medium,5.303559303283691,2026-06-25T21:30:35+00:00
curriculum,610,hard,4.780462741851807,2026-06-25T21:30:38+00:00
curriculum,620,hard,4.9755449295043945,2026-06-25T21:30:38+00:00
curriculum,630,hard,5.105618953704834,2026-06-25T21:30:38+00:00
curriculum,640,hard,3.908529043197632,2026-06-25T21:30:38+00:00
curriculum,650,hard,4.934354782104492,2026-06-25T21:30:38+00:00
curriculum,660,hard,4.89601993560791,2026-06-25T21:30:39+00:00
curriculum,670,hard,4.9194207191467285,2026-06-25T21:30:39+00:00
curriculum,680,hard,4.472208023071289,2026-06-25T21:30:39+00:00
curriculum,690,hard,4.3006415367126465,2026-06-25T21:30:40+00:00
curriculum,700,hard,4.587172985076904,2026-06-25T21:30:41+00:00
curriculum,710,hard,4.224819183349609,2026-06-25T21:30:51+00:00
curriculum,720,hard,4.941994667053223,2026-06-25T21:30:51+00:00
curriculum,730,hard,5.285727024078369,2026-06-25T21:30:51+00:00
curriculum,740,hard,4.804437637329102,2026-06-25T21:30:51+00:00
curriculum,750,hard,4.82861328125,2026-06-25T21:30:51+00:00
curriculum,760,hard,4.681013107299805,2026-06-25T21:30:52+00:00
curriculum,770,hard,5.016327381134033,2026-06-25T21:30:52+00:00
curriculum,780,hard,4.691184997558594,2026-06-25T21:30:52+00:00
curriculum,790,hard,4.895524501800537,2026-06-25T21:30:52+00:00
curriculum,800,hard,4.817765235900879,2026-06-25T21:30:53+00:00
curriculum,810,hard,4.562751770019531,2026-06-25T21:30:56+00:00
curriculum,820,hard,4.747214317321777,2026-06-25T21:30:57+00:00
curriculum,830,hard,4.983626842498779,2026-06-25T21:30:57+00:00
curriculum,840,hard,4.400385856628418,2026-06-25T21:30:57+00:00
curriculum,850,hard,4.646880626678467,2026-06-25T21:30:57+00:00
curriculum,860,hard,4.849256992340088,2026-06-25T21:30:58+00:00
curriculum,870,hard,4.787733554840088,2026-06-25T21:30:58+00:00
curriculum,880,hard,4.609634876251221,2026-06-25T21:30:58+00:00
curriculum,890,hard,4.342118740081787,2026-06-25T21:30:58+00:00
curriculum,900,hard,4.536126613616943,2026-06-25T21:30:58+00:00
